Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC124795555	11	0	33	26	21	0	0	0	0	0	12	0	23	20	18	0	0	0	0	0	7.19	15	0	0.032	-4.987	-4.483	7.37060017376948e-06	0.000651860396419398	2.0048	0.7257	1.2239	1.2239	TRUE	0.1987
LOC124795556	48	56	100	98	65	6	11	18	8	9	52	61	69	74	55	7	11	15	6	20	37.05	62	12	0.194	-2.364	-7.148	8.82169388303292e-13	4.17203108568293e-10	0.0209	0.2629	0.0875	0.0875	TRUE	0.4191
LOC124795583	1	2	3	4	0	15	5	22	17	0	1	2	2	3	0	18	5	18	12	0	6.23	2	11	2.148	1.103	3.093	0.00197917800749882	0.0435353408227564	0.5044	0.8146	0.6137	0.6137	TRUE	0.0667
LOC124795620	131	338	338	341	360	469	1622	649	1181	537	141	370	232	256	307	569	1683	543	844	1214	616.01	261	971	3.208	1.682	4.996	5.85563842176869e-07	8.42830043272403e-05	0.1735	0.1581	0.1702	0.1702	TRUE	0.1618
LOC124795640	4	42	9	4	29	45	88	126	181	40	4	46	6	3	25	55	91	105	129	90	55.55	17	94	3.53	1.82	3.83	0.000128195839582326	0.00608447780555257	0.5699	0.2258	0.4789	0.4789	TRUE	1.5571
LOC124795649	3	0	1	0	2	11	3	24	3	16	3	0	1	0	2	13	3	20	2	36	8.05	1	15	4.781	2.257	3.584	0.000338357911010784	0.0123430728859637	0.9616	0.6645	0.871	0.871	TRUE	0.1641
LOC124795738	12	12	12	22	17	4	5	3	6	0	13	13	8	17	14	5	5	3	4	0	8.21	13	3	0.453	-1.141	-3.446	0.000568087242042085	0.0180398351537681	0	0.6543	0.1574	0.1574	TRUE	0.252
LOC124795844	151	100	170	137	151	200	133	399	423	563	162	110	117	103	129	243	138	334	302	1273	291.07	124	458	2.391	1.258	3.586	0.000336338817213398	0.0123063655930929	0.3718	0.1656	0.3255	0.3255	TRUE	2.3721
LOC124795918	396	398	394	549	290	438	706	1108	1120	942	426	436	271	412	247	531	732	928	801	2130	691.44	358	1024	2.262	1.177	3.95	7.81306990458648e-05	0.00422288455822588	0.1789	0.1574	0.1746	0.1746	TRUE	1.3549
LOC124795919	0	1	2	3	0	88	54	156	11	42	0	1	1	2	0	107	56	131	8	95	40.1	1	79	58.583	5.872	6.997	2.61090297335204e-12	1.08042428666024e-09	0.6716	0.2544	0.5312	0.5312	TRUE	0.1404
