"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126328869",109.504091760359,-2.41956181598798,0.640265271123132,-3.77899899481299,0.000157460059789737,0.00200761576231915
"LOC126328885",31.8810498059065,-2.23060139822333,0.737904481809142,-3.02288636701934,0.00250376240022374,0.0232993585334476
"LOC126328903",82.5561462082822,-2.82378066697365,0.507357530795898,-5.56566227083286,0.0000000261158622219491,0.000000679802311524082
"LOC126328902",209.862815326726,-2.72373596635519,0.293807127982449,-9.27048974291018,0.0000000000000000000185293156619876,0.00000000000000000392536425639336
"LOC126328932",9.95754937992921,-3.06726126100941,0.744380220041375,-4.12055718089732,0.0000377957245930444,0.000550737701212933
"LOC126328929",306.812134307815,-1.82465910616296,0.298655062179391,-6.10958706960392,0.000000000998892486201342,0.0000000334665438807603
"LOC126328934",18.0100525330886,-2.2179790445111,0.52878130279631,-4.19451110086901,0.0000273460759970103,0.000407198131517156
"LOC126328942",481.972949653295,-2.51442051277442,0.455590961951132,-5.51903071563594,0.0000000340874615202174,0.000000872461608054634
"LOC126328941",7.09720699402428,-2.73242198687094,0.815708220128625,-3.34975413934173,0.000808833188225193,0.00872855250929539
"LOC126328955",67.5089801698371,-2.52020170004701,0.355420963873388,-7.09075140808178,0.00000000000133385760075656,0.0000000000734688766496712
"LOC126328993",633.635289308906,-2.66470804887534,0.332780916402341,-8.00739440735731,0.00000000000000117164268009754,0.000000000000112038331284327
"LOC126329002",53.5551964028491,-2.176742494881,0.61043554721739,-3.56588423594181,0.000362631429377863,0.00427154386871956
"LOC126329001",9.2122513337572,-3.9557200400739,1.35969144335933,-2.90927773311617,0.00362264878168865,0.0317934185620476
"LOC126328999",26.8134809750379,-3.39258365171432,0.530247221630365,-6.39811679028332,0.000000000157304952860734,0.00000000610165972082338
"LOC126329024",13.1037966956844,-2.74183049173716,0.769052793700149,-3.56520451417305,0.00036357257168461,0.00427896949751887
"LOC126329025",159.65062940609,-3.57136045406263,0.578739208934691,-6.17093225917177,0.000000000678885056669923,0.0000000235472222426822
"LOC126329026",20.9434015851033,-2.44569002812282,0.459488214284532,-5.32263930192637,0.000000102272410538121,0.00000239658813456141
"LOC126329030",104.246362995506,-2.63743093893637,0.75204291980587,-3.50702183276612,0.000453151967005177,0.00517865922289977
"LOC126329054",79.0081922077275,-1.99979342773419,0.615293391361882,-3.2501461185986,0.00115345726223892,0.0118619167296713
"LOC126329114",245.506317553466,-3.3809822173826,0.435684740894586,-7.76015751765936,0.00000000000000848239666888909,0.000000000000683056152810543
"LOC126329342",8.1742235295531,-2.20956509055565,0.742949988498471,-2.97404283567089,0.00293904043291941,0.026730902748547
"LOC126329344",6.64413332351839,-2.56866451527056,0.740332042196331,-3.4696114295555,0.000521211814828905,0.00586363291682518
"LOC126329346",2970.47895361799,-3.08570360506471,0.482840377020356,-6.39073232463867,0.000000000165093162141184,0.00000000635106689499659
"LOC126329337",11.5405157830254,-3.72577191288134,1.02182596803439,-3.64619028037459,0.000266156924353858,0.0032233780548396
"LOC126329345",126.364046442406,-2.46361327980722,0.50810793947485,-4.84860221305234,0.00000124334461561683,0.0000237789657736719
"LOC126329356",204.561884653701,-2.09317757202213,0.251242331916854,-8.33130928236587,0.0000000000000000799531558731236,0.00000000000000917462463644093
"LOC126329373",327.770041341811,-3.24625721022521,0.40584217798594,-7.99881674776955,0.00000000000000125620510198757,0.000000000000119296167271509
"LOC126329401",4840.42425031191,-3.27514053869155,0.326926414842739,-10.0179746572849,0.0000000000000000000000127080350786108,0.00000000000000000000380412267461892
"LOC126329415",34.5443497595084,-2.47790145671006,0.510192765370996,-4.85679457823792,0.00000119301246517644,0.0000229759183852861
"LOC126329522",3.8210557700422,-3.30069050455432,1.00446844339757,-3.28600716752225,0.0010161842417058,0.0106409558998395
"LOC126329528",45.5364715894764,-4.31786699274185,0.746067729248658,-5.78750001302193,0.000000007144168196751,0.000000203254537333184
"LOC126329539",238.214837968437,-3.50539466939883,0.549480165541442,-6.37947443643342,0.00000000017769674285508,0.00000000677807243522009
"LOC126329563",108.797167504944,-2.24329691415923,0.278423310049629,-8.05714476190719,0.00000000000000078097143379841,0.0000000000000784961798788621
"LOC126329570",11.0569548288102,-1.72863839543528,0.467229054691432,-3.6997664808686,0.000215797941323246,0.00266744852066526
"LOC126329604",130.368304632962,-3.15879533003589,0.384438166006997,-8.21665383238353,0.000000000000000209259988800395,0.000000000000022689055478594
"LOC126329639",9.54826632175728,-3.15909075874503,0.869045219168289,-3.63512817177501,0.000277842465009014,0.00335604451155624
"LOC126329664",4.56299093101344,-3.13505542792379,0.901337864030815,-3.47822448499358,0.000504747022922164,0.00569935536403534
"LOC126329668",290.609104743366,-3.38611369208964,0.629689119509874,-5.37743719428606,0.0000000755535556019197,0.00000181883297314412
"LOC126329669",249.85966025123,-3.46367013739305,0.689078936813869,-5.02652156719259,0.000000499456336059409,0.0000104840148590519
"LOC126329706",6.08932043685273,-2.28418853095869,0.775218606298415,-2.94650891039038,0.00321383159533119,0.0287740319035829
"LOC126329716",911.489002924287,-3.32607957939382,0.403412744052975,-8.24485499882236,0.000000000000000165360618305415,0.0000000000000182161257125245
"LOC126329747",223.379250742947,-2.86301354717443,0.447996242024047,-6.39070884666206,0.000000000165118514771879,0.00000000635106689499659
"LOC126329750",128.996318357745,-2.47114607797081,0.528588312690433,-4.67499189566462,0.00000293965228053051,0.0000516313927332973
"LOC126329783",2934.5035676778,-1.63769856505109,0.550848260845673,-2.97304844447882,0.0029485790910298,0.0267999564907461
