Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126267981	6	3	10	11	26	17	15	62	29	37	7	3	7	9	24	22	16	56	22	87	25.34	10	41	3.928	1.974	0.00062041128000682	0.0307185216666535	0.3245	0.2422
LOC126284729	170	554	277	225	125	115	1118	1208	1807	261	194	638	201	181	113	147	1222	1091	1393	613	579.23	265	893	3.37	1.753	0.000628627026837314	0.0309893908557486	0.2959	0.1288
LOC126354154	86	261	208	226	205	286	559	399	500	112	98	300	151	181	186	365	611	360	385	263	290.17	183	397	2.169	1.117	0.000648773660061796	0.0317056530235395	0.122	0.1271
LOC126268023	36	138	60	46	58	71	116	136	164	417	41	159	44	37	53	91	127	123	126	980	177.97	67	289	4.326	2.113	0.00067979018690132	0.0327955188885855	0.4204	0.15
LOC126277367	407	394	536	589	467	417	585	730	927	2254	464	454	389	473	424	532	639	659	714	5298	1004.61	441	1568	3.555	1.83	0.000704629283163672	0.0338491913941902	0.3279	0.1453
LOC126292309	82	110	129	178	138	131	208	218	249	275	93	127	94	143	125	167	227	197	192	646	201.15	116	286	2.438	1.286	0.000720599989046859	0.0344357969505826	0.1622	0.1421
LOC126299011	551	534	640	807	536	575	512	1502	1870	1285	628	615	465	648	486	734	559	1357	1441	3020	995.3	568	1422	2.5	1.322	0.000722941259393045	0.0344357969505826	0.1764	0.1451
LOC126299241	18	18	12	14	12	14	393	37	50	1	21	21	9	11	11	18	429	33	39	2	59.36	15	104	7.24	2.856	0.000738857589728265	0.0350460644136234	0.7265	0.2193
LOC126278137	1613	1460	3657	4267	2400	6459	2999	11607	12918	802	1838	1681	2656	3426	2177	8244	3277	10484	9956	1885	4562.34	2356	6769	2.874	1.523	0.000753547259966271	0.0355932845931349	0.2346	0.2
LOC126353933	642	914	1086	1122	1113	1186	1441	1721	2331	1006	731	1052	789	901	1009	1514	1574	1555	1796	2364	1328.65	896	1761	1.963	0.973	0.000768109881775683	0.0359800516820153	0.0978	0.1555
LOC126355508	80	15	61	70	92	23	19	24	87	1505	91	17	44	56	83	29	21	22	67	3537	396.85	58	735	12.534	3.648	0.000777640823854775	0.036275980415275	1.1433	0.1239
LOC126350814	1115	1408	2063	2240	2917	2031	2096	3021	4818	8963	1270	1621	1498	1799	2646	2592	2290	2729	3713	21066	4122.46	1767	6478	3.665	1.874	0.000795038912853992	0.0369349559144392	0.3508	0.1967
LOC126295494	396	588	916	1049	773	561	980	1275	1448	3172	451	677	665	842	701	716	1071	1152	1116	7455	1484.66	667	2302	3.446	1.785	0.000800157503193321	0.037020401858809	0.3198	0.1596
LOC126283252	19	61	57	23	8	149	265	130	146	3	22	70	41	18	7	190	290	117	113	7	87.57	32	143	4.52	2.176	0.000845486244687204	0.038799569984853	0.4554	0.198
LOC126272320	146	9	7	17	47	339	69	158	272	162	166	10	5	14	43	433	75	143	210	381	147.93	48	248	5.22	2.384	0.00087296963466096	0.0398986000230266	0.5474	0.1616
LOC126293501	144	142	283	221	220	138	108	436	527	1104	164	163	206	177	200	176	118	394	406	2595	459.9	182	738	4.042	2.015	0.00088244625866016	0.0401690960242522	0.4064	0.1248
LOC126267952	27	45	41	33	45	54	83	98	108	31	31	52	30	26	41	69	91	89	83	73	58.39	36	81	2.263	1.178	0.000889767937229592	0.0402223814837233	0.1283	0.2203
LOC126284231	113	315	247	380	199	231	297	545	487	996	129	363	179	305	180	295	325	492	375	2341	498.43	231	766	3.302	1.723	0.000894862292721781	0.0402223814837233	0.3031	0.1258
LOC126365875	121	83	144	91	75	136	253	281	148	96	138	96	105	73	68	174	276	254	114	226	152.26	96	209	2.177	1.123	0.000897868733625501	0.0402223814837233	0.1266	0.1591
LOC126320178	38	62	93	142	95	63	75	141	170	542	43	71	68	114	86	80	82	127	131	1274	207.7	76	339	4.402	2.138	0.000923335423981365	0.0411997375546468	0.4539	0.141
LOC126298731	11	31	30	7	3	42	43	43	52	44	13	36	22	6	3	54	47	39	40	103	36.13	16	57	3.578	1.839	0.000933875506628544	0.041343218016979	0.314	0.2362
LOC126281604	41	45	44	17	39	31	45	238	182	45	47	52	32	14	35	40	49	215	140	106	72.92	36	110	3.08	1.623	0.000953834255930566	0.0420618551375006	0.2603	0.2094
LOC126336713	591	793	4332	2344	950	2814	1838	6159	5999	2063	673	913	3146	1882	862	3592	2008	5563	4623	4849	2811.15	1495	4127	2.759	1.464	0.000970458697894211	0.042628436733571	0.2268	0.1836
LOC126322885	288	375	693	749	668	447	348	900	1162	3478	328	432	503	601	606	571	380	813	896	8175	1330.43	494	2167	4.381	2.131	0.000975402422678794	0.0426795269365151	0.4608	0.1555
LOC126335571	11	8	27	11	10	30	33	76	36	4	13	9	20	9	9	38	36	69	28	9	23.94	12	36	3.054	1.611	0.000984955043753417	0.0427659903420474	0.2307	0.2422
LOC126354521	81	279	689	528	392	302	157	576	917	3412	92	321	500	424	356	385	172	520	707	8019	1149.68	339	1961	5.782	2.532	0.000995949455031766	0.0429824903396715	0.6334	0.1501
LOC126294954	282	4496	6883	890	547	5084	12977	8526	23314	2633	321	5176	4999	715	496	6489	14179	7701	17968	6189	6423.21	2341	10505	4.487	2.166	0.00104271677960708	0.0445841802089953	0.481	0.2105
LOC126335469	161	242	152	483	303	346	625	589	382	383	183	279	110	388	275	442	683	532	294	900	408.62	247	570	2.304	1.204	0.00104657700021116	0.0445841802089953	0.1547	0.124
LOC126356027	482	672	1667	1497	806	451	654	2628	2617	6232	549	774	1211	1202	731	576	715	2374	2017	14648	2479.49	893	4066	4.549	2.185	0.0010441601185902	0.0445841802089953	0.4889	0.1789
LOC126278641	18	17	27	22	21	22	11	32	47	182	21	20	20	18	19	28	12	29	36	428	62.94	20	107	5.432	2.442	0.00108534646634243	0.0460619408215778	0.5813	0.2199
LOC126266954	85	83	189	158	165	77	85	280	357	694	97	96	137	127	150	98	93	253	275	1631	295.65	121	470	3.859	1.948	0.00111630282810042	0.0465434418253714	0.3957	0.1269
LOC126335182	140	174	218	205	242	157	208	457	480	343	160	200	158	165	219	200	227	413	370	806	291.88	180	403	2.226	1.154	0.00110370995310282	0.0465434418253714	0.1425	0.127
LOC126336904	58	61	43	38	50	81	120	128	139	38	66	70	31	31	45	103	131	116	107	89	79	49	109	2.266	1.18	0.00110689994287493	0.0465434418253714	0.1389	0.2049
LOC126354174	271	471	569	473	453	292	932	1577	1319	259	309	542	413	380	411	373	1018	1424	1017	609	649.57	411	888	2.163	1.113	0.00111972794394501	0.0465434418253714	0.1352	0.1316
LOC126322901	26	37	88	51	43	104	80	97	105	40	30	43	64	41	39	133	87	88	81	94	69.88	43	97	2.216	1.148	0.00115083582230855	0.04741527590526	0.1307	0.2118
LOC126355755	107	88	191	95	115	121	269	247	231	98	122	101	139	76	104	154	294	223	178	230	162.23	108	216	1.988	0.991	0.00115014288030229	0.04741527590526	0.1028	0.1547
LOC126354813	1850	1373	343	482	1441	2312	3049	4910	4647	958	2108	1581	249	387	1307	2951	3331	4435	3581	2252	2218.2	1126	3310	2.94	1.556	0.00116012148342063	0.0476240415503108	0.2626	0.1748
LOC126284316	1	9	13	23	24	5	14	73	75	73	1	10	9	18	22	6	15	66	58	172	37.82	12	63	5.048	2.336	0.00117257153980084	0.0478664443861007	0.532	0.2356
LOC126358175	29	15	26	19	18	9	172	20	35	101	33	17	19	15	16	11	188	18	27	237	58.26	20	96	4.731	2.242	0.00117450660775533	0.0478664443861007	0.5015	0.2219
LOC126284203	262	210	416	254	284	280	385	479	665	342	299	242	302	204	258	357	421	433	513	804	383.1	261	506	1.932	0.95	0.00118100352328072	0.0479580891162448	0.0983	0.1239
LOC126269449	4	19	28	18	16	18	39	77	50	16	5	22	20	14	15	23	43	70	39	38	28.7	15	43	2.777	1.474	0.00120069956437976	0.0484096335081541	0.2018	0.2398
LOC126355467	31	27	27	35	43	88	57	137	96	11	35	31	20	28	39	112	62	124	74	26	55.13	31	80	2.628	1.394	0.00120821958867659	0.0485394695251602	0.1953	0.2224
