Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124793320	51	33	79	111	88	58	39	195	231	263	58	38	58	88	79	75	43	174	178	614	140.64	64	217	3.337	1.739	0.00150054052173579	0.0486333543877535	0.3317	0.1814
LOC124794670	112	107	145	370	1084	70	39	43	144	10	128	125	106	295	978	90	43	38	111	23	193.7	326	61	0.189	-2.403	4.86914704399e-05	0.00373707035626233	0.3721	0.1519
LOC124794714	47	12	42	60	21	104	104	192	50	26	54	14	31	48	19	134	114	172	39	61	68.43	33	104	3.145	1.653	0.000851159253152739	0.0320932729948016	0.2642	0.2405
LOC124794821	43	74	87	40	65	85	110	173	157	139	49	86	63	32	59	110	121	155	121	325	112	58	166	2.853	1.512	0.000193012349670999	0.0105602598443756	0.1784	0.2029
LOC124794930	200	346	342	133	234	427	544	664	759	296	228	403	249	106	211	551	598	594	585	691	421.61	239	604	2.522	1.335	4.23383508089059e-05	0.00334231037957163	0.1205	0.1297
LOC124794936	553	632	1344	1596	931	886	1124	2354	2115	4496	632	736	978	1272	840	1143	1235	2104	1630	10501	2107.16	892	3323	3.723	1.897	0.000441570462371003	0.0194431743032842	0.3267	0.18
LOC124794964	401	391	513	561	461	412	574	694	899	2210	458	456	373	447	416	531	631	620	693	5162	978.72	430	1527	3.547	1.827	0.000818463533664607	0.0314085381043793	0.3349	0.158
LOC124795034	23	46	63	44	38	39	60	96	137	94	26	54	46	35	34	50	66	86	106	220	72.23	39	106	2.669	1.416	0.00143194745879181	0.0473828841753507	0.2117	0.2384
LOC124795045	329	2881	2834	864	1230	2260	5593	4910	5820	5828	376	3357	2063	689	1110	2915	6146	4389	4486	13612	3914.24	1519	6310	4.153	2.054	0.000154121595653529	0.0089650098692779	0.3272	0.1966
LOC124795140	136	620	794	573	338	395	258	8057	1019	2212	155	722	578	457	305	509	284	7203	785	5166	1616.47	443	2789	6.287	2.652	0.000168879462232166	0.00944998316240529	0.5275	0.1733
LOC124795141	2897	5017	3077	4856	3445	5607	4213	15082	15848	5479	3308	5846	2240	3870	3108	7231	4630	13483	12215	12797	6872.87	3674	10071	2.741	1.455	0.00031245205199001	0.0153995576680313	0.1876	0.2159
LOC124795147	36	138	61	47	51	73	121	140	169	429	41	161	44	37	46	94	133	125	130	1002	181.43	66	297	4.485	2.165	0.000549610286322299	0.0230961706632473	0.4252	0.1589
LOC124795184	396	682	804	660	408	837	981	1672	1333	1068	452	795	585	526	368	1079	1078	1495	1027	2494	990.04	545	1435	2.629	1.394	5.41437397982873e-05	0.00391259717242823	0.1369	0.1585
LOC124795200	37	67	106	146	98	66	80	156	178	591	42	78	77	116	88	85	88	139	137	1380	223.23	80	366	4.52	2.176	0.000814005498091721	0.031368767267846	0.4598	0.1437
LOC124795236	623	667	1212	1412	1613	361	351	631	601	190	711	777	882	1125	1455	466	386	564	463	444	727.42	990	465	0.469	-1.092	0.000296978729094458	0.0148516240450314	0.1052	0.1466
