Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126297830	151	155	292	327	273	100	60	111	59	136	196	202	210	210	248	132	73	91	71	111	154.42	213	96	0.499	-1.004	-5.94	2.84557844012181e-09	3.28600220229562e-07	0.0253	0.0682	0.0378	0.0378	TRUE	0.3969
LOC126297995	81	93	119	154	176	154	200	380	488	309	105	121	86	99	160	204	243	312	584	253	216.57	114	319	2.389	1.256	5.006	5.5521463098502e-07	2.85812897187389e-05	0.1164	0.0613	0.0997	0.0997	TRUE	1.2156
LOC126298650	39	121	96	105	53	119	261	221	185	217	51	158	69	68	48	158	317	181	221	178	144.75	79	211	2.108	1.076	4.32	1.55810615339788e-05	0.000390837664858201	0.1495	0.0697	0.1232	0.1232	TRUE	1.9795
LOC126298731	32	32	58	52	22	78	83	93	125	82	41	42	42	33	20	103	101	76	150	67	67.53	36	99	2.403	1.265	5.099	3.4139911622936e-07	1.98011487413029e-05	0.0753	0.0987	0.0823	0.0823	TRUE	0.2762
LOC126298865	105	84	130	145	87	222	200	274	209	202	136	109	93	93	79	294	243	225	250	165	168.82	102	235	2.073	1.051	5.899	3.64607974536926e-09	3.99944321677151e-07	0.0354	0.0661	0.0434	0.0434	TRUE	0.2085
LOC126298975	4	3	9	7	8	249	243	6	3	4	5	4	6	5	7	330	295	5	4	3	66.39	5	127	4.067	2.024	3.669	0.000243878473803118	0.00306173778374962	1.7447	0.0997	1.1024	1.7447	TRUE	0.0497
LOC126299213	11	12	18	27	11	5	4	4	0	3	14	16	13	17	10	7	5	3	0	2	8.74	14	3	0.393	-1.349	-3.705	0.000211397328885302	0.00273575929577494	0	0.4641	0.1845	0.1845	TRUE	0.3461
LOC126299386	26	86	163	50	177	23	20	26	16	24	34	112	117	32	161	30	24	21	19	20	57.07	91	23	0.315	-1.667	-4.491	7.09957495030934e-06	0.000205938285259778	0.2559	0.1087	0.2085	0.2085	TRUE	0.0702
LOC126299485	23	16	27	28	35	40	39	81	99	93	30	21	19	18	32	53	47	66	118	76	48.12	24	72	2.631	1.396	5.048	4.45647219591079e-07	2.40012859694053e-05	0.083	0.1206	0.0942	0.0942	TRUE	0.4073
LOC126301017	2	0	2	1	2	4	5	8	10	7	3	0	1	1	2	5	6	7	12	6	4.21	1	7	2.065	1.046	3.136	0.00171471997992391	0.01312552823197	0	0.9157	0.3156	0.3156	TRUE	0.333
LOC126302203	9	4	13	3	10	249	8	14	207	6	12	5	9	2	9	330	10	11	248	5	64.09	7	121	3.588	1.843	3.58	0.000343594583699481	0.00401705121041415	1.4475	0.1016	0.9278	1.4475	TRUE	0.0808
